feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next,range_p90_next,split1_median,split2_median,h1_n,h2_n
dom,29,1w,40,0.09989681055518265,-0.6531021793721725,15.887171938133285,22.667545070405488,8.357181800734596,7.586909550119414,22.532899119676422,37.803621706271784,0.11265509669561857,-8.864289501153188,24,16
dom,30,1w,60,-0.3416502643245565,-1.0035771034847984,10.89299694874576,26.50324576545486,5.412872681938708,4.000620075912536,15.104743828956586,32.38690579053672,-2.06639875787743,-0.3066857493355113,21,39
dom,31,1w,23,15.037249633057925,15.336831958873297,27.17124745428036,86.94628024037475,17.30639257564399,15.336831958873297,21.458904477772396,36.35066361788313,8.569316880337551,19.312091980902267,16,7
dom,1,5m,3456,-0.002242720887705263,0.0,0.24601965161621386,0.6288070810419356,0.10176493001793104,0.05748562046126171,0.12248588047320014,0.4071955052989043,0.0,,3456,0
dom,2,5m,3456,0.004457240936902472,0.0,0.24976661918580945,0.6402279549484974,0.10984116704178926,0.06664182346278746,0.13087499067263095,0.39558481362889936,0.0,,3456,0
dom,3,5m,3456,0.0009950185193621933,-0.0028565719676465484,0.2697520014251831,0.693843369595461,0.1171255116174567,0.07556466287556018,0.1515298942976986,0.414240132985683,-0.0028565719676465484,,3456,0
dom,4,5m,3456,0.005480875827105424,-0.0015611995010822444,0.2830097428972833,0.7369543671043692,0.12604745080707272,0.07869095320568453,0.15564150105152794,0.44792835393502917,-0.0015611995010822444,,3456,0
dom,5,5m,3456,0.0042861828020808465,0.0,0.2866609279249033,0.7131160283982045,0.12620751734181412,0.08179959100204082,0.15668053610970664,0.4608595456329724,0.009372071227731205,0.0,585,2871
dom,6,5m,3456,0.0015657844020999215,0.0,0.2862906335598825,0.6724656673166218,0.12175031187802977,0.07747417760802788,0.15419164984926714,0.44240543962059964,,0.0,0,3456
dom,7,5m,3456,-0.0020934956339127655,0.0,0.2659384834040379,0.672716070128274,0.11640970583492613,0.07678026072063804,0.152847986845352,0.42582327936664943,,0.0,0,3456
dom,8,5m,3456,0.006208304314578087,0.0,0.21491328935748788,0.5738237732889162,0.0909054333454635,0.05319881014603789,0.10312984854073803,0.33402922755741943,,0.0,0,3456
dom,9,5m,3456,0.004703594129071846,0.0,0.27735129074727416,0.7838482069385495,0.11127526109263253,0.05768726743056174,0.1150628855614485,0.4527153164100308,,0.0,0,3456
dom,10,5m,3456,0.003087777288792943,0.0,0.3497878536835808,0.8577157687908684,0.14327999151708232,0.08193697870638728,0.16828743502614335,0.5518469364624098,,0.0,0,3456
dom,11,5m,3456,-0.0009486279774679032,-0.0019657261350225497,0.3492660256967317,0.8676981746434106,0.1427074740645629,0.08157895831434336,0.16785533347474368,0.5501504932403605,,-0.0019657261350225497,0,3456
dom,12,5m,3456,0.0005174077024960123,0.0,0.34260413222206854,0.845065312923504,0.14101665451495396,0.08039497926784489,0.16514171018005613,0.5190936599610664,,0.0,0,3456
dom,13,5m,3072,0.0005029428058825365,0.0,0.30150172295504885,0.7756141326956281,0.13055748505273965,0.07992445066237197,0.15942025740694088,0.46556606916772136,,0.0,0,3072
