coin,feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next
AAVE,cooloff,1-2,1h,389,0.1010742936918171,0.06405636960524763,1.7925122378839786,3.863082212772281,0.8187425330502079,0.5658691551672757,1.3163281373012174
AAVE,cooloff,3-5,1h,449,-0.03853101795302812,-0.010009408844313672,1.4057150227106119,3.3485996872304087,0.6648435951604166,0.4830805945250871,1.2080212611741965
AAVE,cooloff,6+,1h,3917,-0.018521554565891083,-0.028506271379702408,1.148918011636524,2.450201659351789,0.5326535730842132,0.38565132223311593,0.9003750662040473
BTC,cooloff,0,1h,263,-0.041593130432637834,0.02535068446847255,,,0.6401087843725196,0.4303808437197576,1.0905386028024453
BTC,cooloff,1-2,1h,387,0.050546769755306205,0.06406596008412535,1.0183519893487072,2.1651582776418468,0.4753762976739229,0.3651408295175185,0.8196498477598957
BTC,cooloff,3-5,1h,454,0.012979667736924116,-0.013182350496604434,0.8426741233892765,1.7145222390519048,0.3686803313277734,0.2637073557476721,0.673090599283156
BTC,cooloff,6+,1h,3898,-0.012699719001038548,-0.004687649651802239,0.606701770443645,1.4379118489936284,0.27136214054508606,0.18329353429739625,0.4517099895158603
CRV,cooloff,0,1h,283,0.046214682945323084,0.032536952681971876,,,0.967524568442729,0.7298643311008046,1.6660416778271827
CRV,cooloff,1-2,1h,456,0.07553162856396699,0.04132227454841653,1.668790568638917,3.7910428314551137,0.7935386579738595,0.5904234522707053,1.3441850212495843
CRV,cooloff,3-5,1h,565,-0.04441992174284575,-0.028686173264491632,1.4190740892840203,2.9144393298081264,0.6647390920608751,0.5165905026823125,1.1652364125862453
CRV,cooloff,6+,1h,3697,-0.015541024695447492,-0.018891985075342177,1.1816797925772127,2.6458626809337216,0.5447573843673769,0.39283602264087447,0.9016165547920698
DOGE,cooloff,0,1h,265,0.006900642702591263,-0.02000968890198962,,,0.8412284728750613,0.6561105765024888,1.4520025737838296
