coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99.9_next,mw_p,p99_ci_lo,p99_ci_hi
AAVE,1d,range_top1,no,1305,0.10258916559040702,4.592427192904564,-0.10630819087463772,5.448416741903972,13.681627670731617,21.071920792079133,,,
AAVE,1d,vol_top1,yes,14,2.5658653154626263,6.814781835939041,1.1505924705156878,11.976329205310142,15.116478461521,15.420053685461864,0.1427941262951774,6.395231229939479,15.453784265899738
AAVE,1d,vol_top1,no,1305,0.12144582079633291,4.652739146045357,-0.10487676979549221,5.547658862420586,13.81657464682296,21.15436244378472,,,
AAVE,1d,up5_consec,yes,29,0.8863835553708782,3.9970959098059113,0.06457862447530882,5.985516682155918,7.9099400895552785,8.28769529799028,0.37238903921145095,5.910338349794429,8.3296680989275
AAVE,1d,up5_consec,no,1290,0.13077812980615175,4.698177023547498,-0.09477552580764992,5.577671522137959,14.245753209223095,21.162053327632677,,,
AAVE,1d,dn5_consec,yes,19,1.5431421695155116,4.8049783302126725,1.6457540966125173,6.5625050982853566,12.147706884594555,12.770960328494574,0.171201742913613,4.22862639785162,12.840210711150135
AAVE,1d,dn5_consec,no,1300,0.12699169948838188,4.680914105338318,-0.1101089112834186,5.60926951540808,14.242682890124742,21.15692607173408,,,
AAVE,1h,base,base,5000,-0.010051580080935598,0.8548434076060519,-0.018446255208587337,0.9129434003389777,2.4363195749243602,4.349292396288216,,,
AAVE,1h,prev_ret_gt_2s,yes,125,-0.05506732088620449,1.4062830852800838,-0.00977708251858056,1.5332773981318137,3.8101253331801637,4.303428507537255,0.6910252305982103,2.2385339694117103,4.3491607555940615
AAVE,1h,prev_ret_gt_2s,no,4875,-0.008897330316697934,0.8361411306414768,-0.018523663980729577,0.8967211083182525,2.4091992562058975,4.363357544158807,,,
AAVE,1h,prev_ret_lt_m2s,yes,121,0.061557294519368706,1.4268733644370597,0.14801110083257907,1.4724531492179782,4.296398623612096,4.632704627169068,0.18423551240038405,2.4312790479038857,4.653418696821032
AAVE,1h,prev_ret_lt_m2s,no,4879,-0.011827491912588977,0.8358637514710002,-0.023025558369782484,0.8917600200385545,2.375813130349496,4.025013327644648,,,
AAVE,1h,prev_ret_gt_3s,yes,44,0.10806312891388807,1.6105060581264665,0.16413244597967003,1.9931195091862217,3.675362314992057,3.9498533046699307,0.4413567217465243,2.172695717331445,3.980352303523027
AAVE,1h,prev_ret_gt_3s,no,4956,-0.011100217529638632,0.8453476673620761,-0.01872743450215819,0.9037490667721304,2.416674358788001,4.355084586829799,,,
AAVE,1h,prev_ret_lt_m3s,yes,38,-0.0828501937162172,1.8144988580915433,-0.020966118752091534,1.5948317914062355,4.248405087092054,4.6129173358481355,0.7361902200916466,1.6391729945052038,4.653418696821032
AAVE,1h,prev_ret_lt_m3s,no,4962,-0.009494073567807688,0.843657765273172,-0.018446255208587337,0.9057181492689286,2.4080516286874456,4.346532916602754,,,
AAVE,1h,range_top10,yes,500,0.04533035397412072,1.4282503960642214,0.06749759580266801,1.592000265535761,3.9853567949850057,5.115369289551898,0.11787365837762243,3.271073260427748,4.85752162443614
AAVE,1h,range_top10,no,4500,-0.01620512830927519,0.7650747479836681,-0.02533286584602279,0.8326109795359947,2.014013513645509,3.5343294029874732,,,
AAVE,1h,range_top1,yes,50,0.4249351669832538,1.8699932013130418,0.4247981937234857,2.818769346937047,4.756985172366925,4.846539712986021,0.012959864685001219,3.1777296878567576,4.856490217499254
AAVE,1h,range_top1,no,4950,-0.0144453856068365,0.8376077041690511,-0.022482043730154277,0.8984996978115306,2.34073275271946,3.999022075901833,,,
AAVE,1h,vol_top1,yes,50,0.1559963586651039,1.9230686489366386,0.20427433551206686,2.3636715022631987,4.756985172366925,4.846539712986021,0.336080909092921,3.030995517895589,4.856490217499254
AAVE,1h,vol_top1,no,4950,-0.011728831987461252,0.8374025212514963,-0.01872743450215819,0.9006871802448039,2.3783396866799764,3.999022075901833,,,
AAVE,1h,up5_consec,yes,118,-0.08406224574057854,0.8955979758409217,-0.04801206788678791,1.0635942704633123,1.8236499021695398,2.339751383856281,0.36423670449463974,1.4050972143627272,2.4049519686104803
AAVE,1h,up5_consec,no,4882,-0.008262711062533738,0.8538508792632975,-0.017743471695474966,0.9078404687696451,2.453928003846748,4.364825998195166,,,
AAVE,1h,dn5_consec,yes,146,-0.1430827516802037,0.8027883338542914,-0.014715650269142566,0.6561711925209157,1.2817296125588842,2.474004945640708,0.2931127283625393,0.7929571550737102,2.6599710230549745
AAVE,1h,dn5_consec,no,4854,-0.006050230461344921,0.8561177231143876,-0.01848699604408699,0.9229561708587418,2.443785323430788,4.368511937630762,,,
AAVE,1w,base,base,188,0.691751784857798,11.441487831163679,-0.10404870628069607,14.078287857507506,34.3597966904748,38.105525061705684,,,
AAVE,1w,prev_ret_gt_2s,yes,8,2.6933091992488434,10.613198957450797,3.2447057875548024,12.214133818987321,21.0769953296422,21.963281480707696,0.6223146495425795,,
AAVE,1w,prev_ret_gt_2s,no,180,0.6027936775515295,11.496362103571725,-0.14014914066485806,13.999277615500885,34.418394922716516,38.13611273792321,,,
AAVE,1w,prev_ret_lt_m2s,yes,1,8.362198705238777,,8.362198705238777,8.362198705238777,8.362198705238777,8.362198705238777,,,
AAVE,1w,prev_ret_lt_m2s,no,187,0.6507333521284879,11.458334761255493,-0.1280045512729422,14.11779297851081,34.36712146950501,38.10934852123289,,,
AAVE,1w,prev_ret_gt_3s,yes,2,3.2447057875548024,0.5745636313581961,3.2447057875548024,3.569728059520041,3.6428580707122196,3.6501710718314375,,,
AAVE,1w,prev_ret_gt_3s,no,186,0.6643006665492283,11.499993878805341,-0.14014914066485806,14.157298099514115,34.374446248535236,38.11317198076009,,,
AAVE,1w,prev_ret_lt_m3s,yes,0,,,,,,,,,
AAVE,1w,prev_ret_lt_m3s,no,188,0.691751784857798,11.441487831163679,-0.10404870628069607,14.078287857507506,34.3597966904748,38.105525061705684,,,
AAVE,1w,range_top10,yes,19,4.418082006750348,9.45278108784504,4.4508009153318095,13.370091308188965,21.317386873872977,21.987320635130768,0.04987872584504561,11.534634710837373,22.06175771971497
AAVE,1w,range_top10,no,169,0.27281525103555865,11.592755357936646,-0.5003284985091283,14.038782736504201,34.49896749204885,38.17817079272225,,,
AAVE,1w,range_top1,yes,2,-1.1354138405919922,13.431652472478733,-1.1354138405919922,6.462676196072623,8.172246454322162,8.343203480147116,,,
AAVE,1w,range_top1,no,186,0.7113987270669355,11.459109732844244,-0.10404870628069607,14.157298099514115,34.374446248535236,38.11317198076009,,,
AAVE,1w,vol_top1,yes,2,2.747777211907482,4.860682555009178,2.747777211907482,5.497394488581197,6.1160583758327824,6.1779247645579405,,,
AAVE,1w,vol_top1,no,186,0.6696439845669412,11.495606155782903,-0.10404870628069607,14.157298099514115,34.374446248535236,38.11317198076009,,,
AAVE,1w,up5_consec,yes,4,-7.254612638986239,8.673310966278187,-7.505551883018652,0.7792813723962394,1.6659257568092618,1.7545901952505647,,,
AAVE,1w,up5_consec,no,184,0.86449883755006,11.451007721693946,0.015313607316946865,14.236308341520736,34.38909580659565,38.12081889981451,,,
AAVE,1w,dn5_consec,yes,0,,,,,,,,,
AAVE,1w,dn5_consec,no,188,0.691751784857798,11.441487831163679,-0.10404870628069607,14.078287857507506,34.3597966904748,38.105525061705684,,,
AAVE,5m,base,base,5017,-0.002497602751153472,0.17786251836884912,-0.0022096761719492264,0.19696970402327563,0.4743577568489311,0.7746539862951317,,,
