bar,side,action,price,notional,fee
2346,1,CLOSE,120543.62,3750.0,0.75
2347,1,OPEN,122932.2,3750.0,0.75
2348,1,CLOSE,120473.56,3750.0,0.75
2349,1,OPEN,122915.14,3750.0,0.75
2350,1,CLOSE,120456.83,3750.0,0.75
2351,1,OPEN,122811.46,3750.0,0.75
2352,1,CLOSE,120355.23,3750.0,0.75
2353,1,OPEN,122793.18,3750.0,0.75
2354,1,CLOSE,120337.32,3750.0,0.75
2355,1,OPEN,122760.66,3750.0,0.75
2356,1,CLOSE,120305.45,3750.0,0.75
2357,1,OPEN,122760.66,3750.0,0.75
2358,1,CLOSE,120305.45,3750.0,0.75
2359,1,OPEN,122653.86,3750.0,0.75
2360,1,CLOSE,120200.78,3750.0,0.75
2361,1,OPEN,122587.33,3750.0,0.75
2362,1,CLOSE,120135.59,3750.0,0.75
2363,1,OPEN,122507.98,3750.0,0.75
2364,1,CLOSE,120057.82,3750.0,0.75
2365,1,OPEN,122507.98,3750.0,0.75
2366,1,CLOSE,120057.82,3750.0,0.75
2366,1,CLOSE,118726.38,3750.0,0.75
2367,1,OPEN,122385.0,3750.0,0.75
2367,1,OPEN,120540.0,3750.0,0.75
2368,1,CLOSE,119937.3,3750.0,0.75
2369,1,OPEN,122258.93,3750.0,0.75
2370,1,CLOSE,119813.75,3750.0,0.75
2371,1,OPEN,122186.0,3750.0,0.75
2372,1,CLOSE,119742.28,3750.0,0.75
2373,1,OPEN,122003.43,3750.0,0.75
2374,1,CLOSE,119563.36,3750.0,0.75
2375,1,OPEN,121635.41,3750.0,0.75
2376,1,CLOSE,119202.7,3750.0,0.75
2377,1,OPEN,121437.55,3750.0,0.75
2378,1,CLOSE,119008.8,3750.0,0.75
2379,1,OPEN,121437.55,3750.0,0.75
2388,1,CLOSE,119008.8,3750.0,0.75
2389,1,OPEN,121437.55,3750.0,0.75
2390,1,CLOSE,119008.8,3750.0,0.75
2391,1,OPEN,121437.55,3750.0,0.75
2392,1,CLOSE,119008.8,3750.0,0.75
2393,1,OPEN,121437.55,3750.0,0.75
2394,1,CLOSE,119008.8,3750.0,0.75
